game_id,game_name,uuid,timestamp,angry,disgusted,fear,sad,surprised,happy
3,Platformer,188,1614212552769,0.013792620092279,0.011887605397422,0.055363316351988,0.178958001208706,0.141122336686125,0.173872593411562
3,Platformer,188,1614212553275,0.013661375876051,0.011456910676689,0.053719442879356,0.175310753086848,0.133887472078914,0.17557320238333
3,Platformer,188,1614212553798,0.01037695436404,0.010569816925753,0.062107663117168,0.18851417255598,0.16050618914945,0.201205757759839
3,Platformer,188,1614212554336,0.011567166230719,0.01178815875363,0.05430675092702,0.177094689035108,0.16158969000307,0.215904232398928
3,Platformer,188,1614212554870,0.021416331461466,0.021844807436676,0.050082888595963,0.16116140398416,0.053550541338718,0.134361450530944
3,Platformer,188,1614212555412,0.015239614135636,0.016058334469012,0.058324201531591,0.175303696508081,0.102496080989907,0.151284117160213
3,Platformer,188,1614212555934,0.014821958233796,0.014418758096693,0.054570443011034,0.202616445075485,0.139081505199532,0.159651932902482
3,Platformer,188,1614212556473,0.013038275964613,0.011072634394543,0.064182421988003,0.197625262610693,0.156723361736804,0.148223965083583
3,Platformer,188,1614212556983,0.014311281872655,0.014112832106204,0.056774231143189,0.213811557393738,0.110190369880457,0.154999295824151
1,Card Flipper,199,1614219687308,0.013142587511793,0.018592383046139,0.019446531257984,0.452135142939952,0.44906207813706,0.345484286496618
1,Card Flipper,199,1614219687826,0.019512727310517,0.023389341918258,0.022324753597061,0.446479809047566,0.401033030554017,0.269203546487926
1,Card Flipper,199,1614219688330,0.012279116243947,0.017878754437155,0.020329216513962,0.465696542278623,0.487834054871415,0.326713788682242
1,Card Flipper,199,1614219688832,0.017720774239491,0.021865909922827,0.021412238803962,0.450071753980501,0.407626787657417,0.288873857442989
1,Card Flipper,199,1614219689354,0.015732170828481,0.01998429561435,0.022066920888832,0.44707273224102,0.443808219966332,0.30806809479336
1,Card Flipper,199,1614219689872,0.008916042074027,0.013980662902708,0.020315397755587,0.505805536159966,0.504467549636265,0.370996695580021
