Jogador;Jogada;Dados
47;1;"{""t"":1605839228422,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
47;2;"{""t"":1605839633465,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
47;3;"{""t"":1605840030384,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
47;4;"{""t"":1605840091775,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""20"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""2"",""al"":""Feminino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""3"",""al"":""De 1 a 3 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""2"",""al"":""Não muito habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""4"",""al"":""Um pouco mais estressado que o normal""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""1"",""al"":""Não gosto de desafios, prefiro jogos fáceis, são mais divertidos""}]}"
50;1;"{""t"":1605880742075,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""1"",""al"":""Sim, mas fiquei um pouco confuso(a)""}]}"
50;2;"{""t"":1605882122477,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""1"",""al"":""Sim, mas fiquei um pouco confuso(a)""}]}"
50;3;"{""t"":1605883450962,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""1"",""al"":""Sim, mas fiquei um pouco confuso(a)""}]}"
50;4;"{""t"":1605883586237,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""trinta e um anos. "",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""2"",""al"":""Feminino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""2"",""al"":""De 0 a 1 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""2"",""al"":""Não muito habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""1"",""al"":""Não gosto de desafios, prefiro jogos fáceis, são mais divertidos""}]}"
55;1;"{""t"":1605899436904,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
55;2;"{""t"":1605899855152,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""5"",""al"":""5 (No fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
55;3;"{""t"":1605899855693,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""5"",""al"":""5 (No fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
55;4;"{""t"":1605900055100,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""21"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""3"",""al"":""De 1 a 3 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""4"",""al"":""Um pouco mais estressado que o normal""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
56;1;"{""t"":1605900320408,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""1"",""al"":""Sim, mas fiquei um pouco confuso(a)""}]}"
56;2;"{""t"":1605900785475,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
56;3;"{""t"":1605901178964,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
56;4;"{""t"":1605901314237,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""18"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""5"",""al"":""De 5 a 10 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""3"",""al"":""Normal (calmo e/ou estressado como de costume)""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
57;1;"{""t"":1605893812057,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
57;2;"{""t"":1605894296781,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
57;3;"{""t"":1605895182440,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
57;4;"{""t"":1605895397965,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""19"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""3"",""al"":""De 1 a 3 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""2"",""al"":""Conheço um pouco""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""2"",""al"":""Um pouco mais calmo e relaxado do que o normal""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
61;1;"{""t"":1605994055257,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
61;2;"{""t"":1605994494373,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
61;3;"{""t"":1605995064822,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""5"",""al"":""5 (Extremamente estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""3"",""al"":""3 (No meio)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
61;4;"{""t"":1605995120502,""d"":[{""q"":""1) Qual a sua idade? (favor responder em quantidade de anos)"",""a"":""21"",""al"":""""},{""q"":""2) Qual é o seu gênero?"",""a"":""1"",""al"":""Masculino""},{""q"":""3) Quantas horas por semana você jogou qualquer tipo de jogo digital este ano?"",""a"":""5"",""al"":""De 5 a 10 hora por semana""},{""q"":""4) O quão habilidoso ou experiente você se considera como jogador de jogos digitais?"",""a"":""3"",""al"":""Moderadamente habilidoso""},{""q"":""5) O quão você considera que conhece jogos no estilo quebra-cabeça (como o jogo dos cogumelos que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""6) O quão você considera que conhece jogos no estilo plataforma (como o jogo de pular e deslizar que acabou de jogar)?"",""a"":""3"",""al"":""Conheço moderadamente""},{""q"":""7) O quão você considera que conhece o jogo Tetris (o jogo com blocos em diferentes formatos baseados em quadrados que acabou de jogar)?"",""a"":""4"",""al"":""Conheço muito bem""},{""q"":""8) Em comparação com o seu estado mental diário normal, como você está se sentindo hoje?"",""a"":""4"",""al"":""Um pouco mais estressado que o normal""},{""q"":""9) Qual dos perfis abaixo melhor descreve você como jogador de jogos digitais?"",""a"":""2"",""al"":""Gosto de jogos desafiadores, quanto mais difícil melhor o jogo""}]}"
62;1;"{""t"":1605997749897,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
62;2;"{""t"":1605998183362,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""4"",""al"":""4 ""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""2"",""al"":""2 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
62;3;"{""t"":1605998584210,""d"":[{""q"":""1) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""2) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>início</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco estressado)""},{""q"":""3) Em uma escala de 1 a 5, o quanto você se sentiu <em>entediado</em> no <em>final</em> do jogo?"",""a"":""1"",""al"":""1 (Nem um pouco entediado)""},{""q"":""4) Em uma escala de 1 a 5, o quanto você se sentiu <em>estressado</em> no <em>final</em> do jogo?"",""a"":""3"",""al"":""3 ""},{""q"":""5) Qual parte do jogo descreve <em>melhor</em> o momento que você mais se divertiu?"",""a"":""4"",""al"":""4 (Depois do meio e antes do fim)""},{""q"":""6) Você considera que entendeu como jogar o jogo corretamente?"",""a"":""2"",""al"":""Sim""}]}"
