game_id,game_name,uuid,timestamp,angry,disgusted,fear,sad,surprised,happy,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,Card Flipper,6,1.60571E+12,0.100789867,0.192510329,0.020055601,0.14348253,0.035892621,0.036649769,0.690259999,-0.078931538,123.6475333,89.48088419,3.47535195,-9.039708402,7.538663303,-0.876510226,1.401718131,-1.16384116,2.527614448,-0.530675363,0.620141338,3.693088856,-0.345790916,7.113430559,-1.781003518,-0.354088887,0.91096037,0.641598629,0.746256586,-0.920513891,0.059532707,-0.21382728
1,Card Flipper,6,1.60571E+12,0.111384403,0.28830667,0.023824184,0.111184286,0.009459047,0.042582685,0.68625534,0.009919678,129.8129633,84.35221434,8.609392914,-1.264930994,8.04636855,1.045755003,4.114793387,-0.064641132,0.298781183,0.043302244,0.028889164,5.872177195,-0.036466533,-1.744999169,-1.853533762,0.440318997,0.399678389,0.463752094,0.97612074,-0.548221198,0.039858425,-0.055611333
1,Card Flipper,6,1.60571E+12,0.043963836,0.100672861,0.013003217,0.092923602,0.060208901,0.173207275,0.693912029,-0.098077863,123.5347259,87.16235311,3.464430366,-7.724436762,7.872754541,-1.926260341,1.901949283,-2.226818905,2.668777028,-0.835008337,0.143088034,1.997679959,-0.140434486,7.113430559,-1.688276153,-0.488599997,0.369462458,0.595952734,0.921259512,-0.680783576,-0.029489026,-0.542698522
1,Card Flipper,6,1.60571E+12,0.115076651,0.309572562,0.025313067,0.116976208,0.007925123,0.0413174,0.693299053,-0.018572265,126.2348119,85.72590113,6.741173532,-2.300220532,7.152350615,2.120875512,3.56837141,0.650964201,-0.820858025,1.333977452,0.197874181,5.955255647,0.034297436,-1.245166178,-1.559430168,-0.529445791,0.469997374,-0.073861767,0.818905982,-0.854020298,0.356324276,-0.124646578
1,Card Flipper,6,1.60571E+12,0.072630522,0.208644109,0.019278038,0.087523251,0.011234532,0.10627639,0.698387149,-0.010191131,126.1353811,85.98324982,5.20642346,-2.249986026,7.837905644,1.011909855,3.746970161,-0.17566169,-0.30696922,0.609026255,-0.04005864,5.038030292,0.170313929,-0.772713724,-1.76175327,-0.072015035,0.220941651,0.099687365,0.922760419,-0.585013038,0.124444048,-0.368011322
1,Card Flipper,6,1.60571E+12,0.149486112,0.402165856,0.019326421,0.112610712,0.005093805,0.032592244,0.664324722,0.002168581,128.0748366,85.21012568,6.455090366,-0.467605309,9.261049698,1.550727701,3.863386431,0.730839184,-0.461685968,0.461383427,0.211801692,6.370933341,0.125126886,-1.342119614,-1.664126668,0.471636757,0.505290512,0.522812823,0.804757597,-0.812897982,0.137818228,-0.090090653
1,Card Flipper,6,1.60571E+12,0.074457402,0.243565347,0.015373004,0.135253313,0.016642462,0.085105092,0.662135711,0.046696327,130.6433896,80.61956442,7.781354151,-4.651707584,10.1135516,-1.872966323,2.987956187,-1.167234716,1.545617706,2.396657114,0.293892441,4.083595855,0.056688368,-7.113430559,-1.764561378,-0.100706869,0.44706235,-0.397316639,0.378505926,-0.759291997,0.355669473,-0.121626721
1,Card Flipper,6,1.60571E+12,0.110858971,0.271756247,0.017935497,0.16879446,0.0157471,0.033567317,0.677916105,0.055583301,127.9891269,79.76003563,6.857504896,-6.480079273,8.501952712,-0.296769935,2.2755015,-0.229581257,1.480751409,1.619115682,0.307422466,4.53485704,-0.096713166,-7.113430559,-1.638238861,0.593164913,0.592279858,0.037963513,0.750226284,-1.070637329,0.416440339,0.117133297
1,Card Flipper,6,1.60571E+12,0.091220793,0.230090005,0.014467257,0.152100539,0.019922247,0.056712132,0.665738121,0.047819507,128.4735366,79.53252241,7.176055793,-5.333229738,9.39657597,-1.204760713,2.370570803,-0.494235297,1.976625602,2.536764273,0.285026983,3.755570808,0.038996598,-7.113430559,-1.808337067,0.18431676,0.413005109,-0.417281581,0.618362617,-0.974846241,0.53880071,-0.007233616
1,Card Flipper,6,1.60571E+12,0.051321169,0.143203677,0.013406026,0.129474363,0.031626229,0.131849607,0.663598409,0.068682419,132.0135289,76.19873052,8.790076606,-3.588596919,9.848295847,-1.383467848,2.963619865,-1.56754001,1.989545416,2.090631965,0.262874887,2.890655638,-0.032470788,-7.113430559,-1.792770751,0.672516288,0.380495593,-0.134954317,0.451333734,-0.505030986,0.546232689,-0.053735443
