game_id,game_name,uuid,timestamp,angry,disgusted,fear,sad,surprised,happy,p1,p2,p3,p4,p5,p6,p7,p8,p9,p10,p11,p12,p13,p14,p15,p16,p17,p18,p19,p20,p21,p22,p23,p24
1,Card Flipper,6,1.60571E+12,0.03479982,0.057187475,0.010910151,0.125495458,0.191988312,0.131196086,0.708884135,-0.049155792,127.6674623,73.94391711,8.745178286,-3.565962261,9.720162999,-2.454052752,0.723534387,-3.295090181,4.67093707,0.534240521,-0.004271386,0.609054585,0.030565419,-2.047011561,-1.69256579,0.172656741,0.628704731,0.449618506,0.189414428,-0.76266304,0.090869539,-0.324216331
1,Card Flipper,6,1.60571E+12,0.036979633,0.060507435,0.010679354,0.144914419,0.165644047,0.129370542,0.707711343,-0.060944291,124.998209,77.17076597,5.645839081,-7.14527583,8.50489526,-2.790441447,0.357074838,-3.157029747,4.626382202,0.385761117,0.382200819,-0.250507352,-0.193845667,0.378891966,-1.474871438,0.175986682,0.767219808,0.427612979,0.237352276,-0.806479957,0.060166621,-0.209095259
1,Card Flipper,6,1.60571E+12,0.044133428,0.073702197,0.010179346,0.147568109,0.137983766,0.124410717,0.716185899,-0.086198127,122.9223305,78.02031378,5.369641825,-8.785295836,8.599278478,-1.907847999,-0.295009753,-3.087814673,4.408584561,0.612260547,0.434777828,-0.17218584,-0.120988106,1.270967462,-1.732204595,-0.421942922,0.5251356,0.107360923,0.514652128,-0.790267226,0.105067862,-0.508717095
1,Card Flipper,6,1.60571E+12,0.03893233,0.068747953,0.012574316,0.189018031,0.131542024,0.10854784,0.719713864,-0.055191877,123.7214894,76.34221641,5.240304746,-7.918405199,7.918580736,-2.334213901,0.081149241,-3.066542544,4.108274115,-0.01957786,0.370318144,-0.255312936,-0.325495549,0.221003479,-1.235020477,0.587279773,0.885328391,0.758518822,0.275672033,-0.872233303,0.033931755,-0.125604285
1,Card Flipper,6,1.60571E+12,0.044944965,0.068453524,0.01449417,0.159300528,0.152982292,0.097806965,0.720428949,-0.089484103,121.1916839,78.09473815,4.747989534,-8.68028622,7.544541296,-1.941731508,-0.071402803,-3.144082438,3.975004313,0.871357894,0.295944826,-0.008575485,-0.316130602,1.412620923,-1.492949412,-0.373704663,0.856977446,-0.02920963,0.197306609,-0.792788923,0.227201979,-0.142516632
1,Card Flipper,6,1.60571E+12,0.045316627,0.083957128,0.011218223,0.118764314,0.135713007,0.124726061,0.707855209,-0.037166189,123.741774,77.89201313,3.625883411,-9.408383589,8.906321482,-2.917334772,0.085711265,-3.094300628,4.16372185,0.594884885,0.346983644,0.003995626,-0.110897273,1.544548984,-1.196307745,-0.090507003,0.704447013,0.093642892,0.250605663,-0.958182914,0.185250837,-0.199257411
1,Card Flipper,6,1.60571E+12,0.02752115,0.069305607,0.009273201,0.096068305,0.12282123,0.173052768,0.692897344,-0.119105514,121.9506504,83.64516046,2.471110819,-0.531091802,9.77080617,-1.146060383,3.217975133,-2.518543323,3.101947081,0.227397918,-0.40690692,3.194343879,0.113029389,7.113430559,-1.694263357,-0.634336999,0.571984708,0.297937296,0.693926031,-0.748264522,0.088061244,-0.229470975
1,Card Flipper,6,1.60571E+12,0.066297635,0.15990967,0.0113897,0.09817488,0.036351835,0.082557716,0.697096539,-0.119313759,122.1068245,82.63687513,3.222801046,-0.590647628,9.21924421,-0.797290423,2.218713789,-1.480045997,2.095615046,-0.030845838,-0.17348609,3.459299459,0.065224978,7.113430559,-1.530105003,-0.540197469,0.534182008,0.353797754,0.527757343,-0.943346419,0.133026921,0.001982719
1,Card Flipper,6,1.60571E+12,0.0898639,0.197480884,0.013544793,0.09415697,0.025368278,0.060599389,0.700845912,-0.121333706,120.4610671,82.41017259,2.363275701,-0.418626163,9.090984461,-0.286504618,1.669642898,-1.143429448,1.857143904,-0.157129707,-0.27398311,3.736482428,-0.038383037,7.113430559,-1.356502974,-0.569701302,0.539858854,0.400916929,0.45843513,-0.723367181,0.051593425,-0.018872394
1,Card Flipper,6,1.60571E+12,0.083361424,0.178034108,0.015132634,0.106055337,0.028002615,0.065664623,0.69165567,-0.100546645,123.3085758,82.38711976,2.217380289,-2.5564618,8.425644626,-0.415657398,1.894519226,-1.115357573,1.958459275,-0.833506346,0.090411222,2.954984989,-0.126139072,7.113430559,-1.371839933,-0.05801635,0.513900099,0.714732829,0.476501353,-0.61231805,-0.02507076,-0.101322739
