,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,GSHP3,0.0479736328125,0.3075408935546875,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.3917999267578125,0.3897857666015625
1,GUAR3,0.013683319091796875,0.0555419921875,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06002616882324219,0.0689096450805664
2,HAGA3,0.004385471343994141,0.00787973403930664,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0.017347335815429688,0.018358707427978516
3,HAGA4,0.008065462112426758,0.004399776458740234,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.004886984825134277,0.0006390810012817383
4,HBOR3,0.03966999053955078,0.05641365051269531,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12491226196289062,0.008639335632324219
5,HBTS5,1.1670632362365723,0.3653864860534668,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2783045768737793,0.02174854278564453
6,HETA4,0.0070285797119140625,0.597264289855957,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0.25780677795410156,0.18282318115234375
7,HGTX3,2486.409245491028,229.90175342559814,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1925.1403245925903,352.11337757110596
8,HOOT4,0.22413039207458496,0.09857892990112305,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.48641490936279297,0.7002377510070801
9,HYPE3,0.18357086181640625,0.29242515563964844,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.36881446838378906,0.210540771484375
10,IGBR3,0.017376184463500977,0.02194046974182129,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.013986587524414062,0.0005805492401123047
11,IGTA3,0.24560928344726918,0.052339553833011365,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.11067008972168324,0.12139892578125355
12,INEP3,0.10676956176757812,0.10523033142089844,0,1,1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.12466049194335938,0.062322139739990234
13,INEP4,0.0660016536712642,0.14050006866455123,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.058682441711426225,0.09472894668579057
14,ITSA3,0.013388633728027344,0.01057577133178711,0,0,0,0,0,1,1,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.05300426483154297,0.0002384185791015625
15,ITSA4,0.0012969970703125,0.04568767547607422,0,0,1,0,0,0,0,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0.0444951057434082,0.08063650131225586
16,ITUB3,0.04404640197753906,0.1400928497314453,1,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.10190582275390625,0.04201698303222656
17,ITUB4,0.21002960205078125,0.07806968688964844,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.6456756591796875,0.8515892028808594
18,JBDU3,69.87384033203125,316.53206634521484,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,62.0062255859375,71.64306640625
19,JBDU4,156.03524017333984,57.14700698852539,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,28.46234893798828,34.85724639892578
20,JBSS3,0.1425762176513672,0.21015262603759766,0,0,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08979415893554688,0.00856924057006836
21,JFEN3,0.19717025756835938,0.2512931823730469,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0327911376953125,0.00289154052734375
