,Unnamed: 0,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1,Setor,Subsetor
42,42,EUCA4,0.056293725967407234,0.010967254638671877,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002054929733276367,0.02133369445800781,Madeira e Papel,Madeira
43,43,EVEN3,0.04015207290649414,0.010767221450805664,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02329540252685547,0.02581048011779785,Construção Civil,Incorporações
44,44,FESA3,4.61439323425293,14.029633522033693,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.573121070861816,3.5268096923828125,Siderurgia e Metalurgia,Siderurgia
45,45,FESA4,0.0790872573852539,0.031826019287109375,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03513002395629883,0.046373844146728516,Siderurgia e Metalurgia,Siderurgia
46,46,FHER3,0.047672033309936516,0.007308244705200195,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.008075237274169922,0.008079290390014648,Químicos,Fertilizantes e Defensivos
47,47,FLRY3,0.5277862548828125,0.10840988159179688,0,0,0,0,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0.677520751953125,0.259796142578125,Análises e Diagnósticos,Análises e Diagnósticos
48,48,FRAS3,0.10190439224243164,0.016183853149414062,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01875782012939453,0.0005998611450195312,Material de Transporte,Material Rodoviário
49,49,FRIO3,1.2565231323242188,1.0072708129882812,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.4296150207519531,0.6067352294921875,Máquinas e Equipamentos,Máq. e Equip. Industriais
50,50,FRTA3,0.08031654357910156,0.1063556671142578,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06535720825195312,0.10886192321777344,Agropecuária,Agricultura
51,51,GEPA3,0.03441619873046875,0.05515289306640625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.08953475952148438,0.00189208984375,Energia Elétrica,Energia Elétrica
52,52,GEPA4,0.3186607360839844,0.43935394287109375,0,1,0,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0.29315948486328125,0.06870651245117188,Energia Elétrica,Energia Elétrica
53,53,GFSA3,0.12735366821289062,0.3811798095703125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1007709503173828,0.06384849548339844,Construção Civil,Incorporações
54,54,GGBR3,0.1603536605834961,0.019478797912597656,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005628585815429688,0.07709884643554688,Siderurgia e Metalurgia,Siderurgia
55,55,GGBR4,0.0014090538024902346,0.03092670440673828,1,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.05041360855102539,0.02070522308349609,Siderurgia e Metalurgia,Siderurgia
56,56,GOAU3,0.5465824604034424,0.38381171226501465,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04816150665283203,0.02740108966827393,Siderurgia e Metalurgia,Siderurgia
57,57,GOAU4,0.0109100341796875,0.10089778900146484,0,0,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09687995910644533,0.014341354370117188,Siderurgia e Metalurgia,Siderurgia
58,58,GOLL4,0.08345460891723544,0.13208627700805753,0,0,1,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.04145717620849698,0.08070135116577237,Transporte,Transporte Aéreo
59,59,GPAR3,0.2630290985107422,0.2982816696166992,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.02622222900390625,0.034873008728027344,Energia Elétrica,Energia Elétrica
60,60,GPCP3,0.031272053718566895,0.08922958374023438,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005339145660400391,0.0070531368255615234,Químicos,Petroquímicos
61,61,GPIV33,0.04200124740600586,0.02394723892211914,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07344627380371094,0.015636920928955078,Serviços Financeiros Diversos,Gestão de Recursos e Investimentos
62,62,GRND3,0.024517059326171875,0.030202865600585938,0,0,0,0,0,0,1,1,1,0,0,0,0,1,1,0,0,0,0,0,0,0.024136066436767575,0.12172746658325195,"Tecidos, Vestuário e Calçados",Calçados
63,63,GSHP3,1.327117919921875,0.6340789794921875,0,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.358062744140625,0.2069091796875,Exploração de Imóveis,Exploração de Imóveis
