,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,TEKA4,1.5462918281555176,0.6733279228210449,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2234630584716797,0.01029205322265625
1,TELB3,0.3045978546142578,0.5299663543701172,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12174606323242188,0.05973625183105469
2,TELB4,0.2649955749511719,0.04863929748535156,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09204292297363281,0.09551620483398438
3,TEND3,0.08861494064331055,0.04740476608276367,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.027053356170654297,0.006045341491699219
4,TENE5,245.57318115234375,48.928192138671875,1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,299.7715148925781,196.17530822753906
5,TESA3,0.645564079284668,1.0657377243041992,0,0,0,0,0,0,1,1,0,0,0,1,0,1,1,0,0,0,0,0,0,0.2326650619506836,0.7264852523803711
6,TGMA3,0.1169090270996076,0.013463973999021661,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.029749870300291192,0.07790279388427557
7,TIET3,1.6729230880737305,0.2131824493408203,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0.15328574180603027,0.07444906234741211
8,TIET4,0.011831283569335938,0.13282394409179688,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.4647197723388672,0.09519386291503906
9,TIMS3,0.014651298522949219,0.03760719299316406,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.015001296997070312,0.03085041046142578
10,TKNO4,0.07037353515625,0.07055473327636719,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.036472320556640625,0.033061981201171875
11,TOTS3,0.04738807678222656,0.05547809600830078,0,1,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.07088375091552734,0.03391838073730469
12,TPIS3,0.11928343772888184,0.027387619018554688,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.023957014083862305,0.011180639266967773
13,TRIS3,0.017676830291748047,0.0061037540435791016,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006475687026977539,0.001450181007385254
14,TRPL3,0.09668350219726562,0.1437368392944336,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0.07827091217041016,0.01467132568359375
15,TRPL4,10.771247655153275,18.4943790435791,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2075738906860352,1.624192237854004
16,TUPY3,0.17626380920410156,0.28531646728515625,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.02512359619140625,0.0491943359375
17,TXRX3,0.021498441696166548,0.011348485946655718,0,0,0,1,0,0,0,0,0,0,0,1,1,1,0,0,0,0,0,1,0,0.003271818161010298,0.001089334487914595
18,TXRX4,0.01564836502075151,0.003655433654784712,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06673955917358354,0.0017940998077388137
19,UCAS3,0.011885643005371094,0.020768404006958008,0,0,0,0,0,0,1,0,1,1,0,0,0,1,0,0,0,0,0,1,0,0.04898667335510254,0.0020439624786376953
20,UGPA3,1350.5438232421875,2660.056640625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,322.6214599609375,131.85120391845703
21,UNIP3,0.029018878936767578,0.005223274230957031,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0021653175354003906,0.009894371032714844
22,UNIP5,0.21236133575439453,0.025179386138916016,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02215576171875,0.0021953582763671875
23,UNIP6,0.005070924758911133,0.019225358963012695,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03984832763671875,0.02823495864868164
24,USIM3,0.09592247009277344,0.29837608337402344,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.3061332702636719,0.17110061645507812
25,USIM5,0.0164947509765625,0.0327143669128418,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06318044662475586,0.07274389266967773
26,USIM6,0.02733755111694247,0.03452920913696378,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02083110809326083,0.027003765106200284
27,VALE3,0.05158805847167969,0.036945343017578125,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.057285308837890625,0.06283378601074219
28,VIVR3,3.6219520568847656,0.6422863006591797,0,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,2.555591583251953,1.8616352081298828
29,VIVT3,0.33486175537110086,0.33911514282227273,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09882354736327414,0.09734725952149148
30,VLID3,0.025905609130855822,0.12335586547851918,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1686611175537145,4.9591064456677714e-05
31,VSPT3,0.005240321159362793,0.0015732049942016602,0,0,0,0,0,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0.005162715911865234,0.015822649002075195
32,VULC3,102.5852746963501,72.73416233062744,0,1,0,0,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,60.78242588043213,69.68700313568115
33,VVAR3,0.015184879302979404,0.065596103668212,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02089500427246005,0.08060169219970614
34,WEGE3,0.023431777954101562,0.040770530700683594,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0035104751586914062,0.004857540130615234
35,WHRL3,0.0014133453369140625,0.00881052017211914,0,1,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0.031025409698486328,0.025293827056884766
36,WHRL4,0.018857955932617188,0.010042428970336914,0,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04192852973937988,0.0037584304809570312
37,WLMM4,0.9608983993530273,0.9649190902709961,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2094030380249023,2.6843461990356445
38,WSON33,0.18624496459960938,0.20726394653320312,0,0,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.4518852233886719,0.3204460144042969
39,YDUQ3,0.2930431365966797,0.2386188507080078,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.17986488342285156,0.1567974090576172
