,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,MTIG4,1.6790599822998047,1.1018753051757812,0,0,0,0,0,1,0,1,0,0,0,1,1,1,0,0,0,0,0,0,0,0.6089515686035156,0.6232357025146484
1,MTSA4,0.023773193359375,0.1332530975341797,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.2214956283569336,0.09609222412109375
2,MULT3,0.142913818359375,0.0183868408203125,0,0,0,0,0,0,0,0,0,1,1,0,0,1,1,0,0,0,0,1,0,0.14861297607421875,0.1349468231201172
3,MWET3,0.17939186096191406,1.335580825805664,1,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.9499149322509766,0.8008937835693359
4,MWET4,0.19815564155578613,0.08272194862365723,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06839847564697266,0.05139875411987305
5,MYPK3,0.048358917236328125,0.12014007568359375,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.04566001892089844,0.03352546691894531
6,NORD3,59.04537355899811,75.73246920108795,1,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,4.223912835121155,3.5277875661849976
7,NUTR3,0.5398635864257812,0.6819572448730469,0,1,1,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.23662185668945312,0.12169647216796875
8,ODPV3,0.014842033386230469,0.0013666152954101562,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.033321380615234375,0.2826805114746094
9,OIBR3,0.4408763647079468,0.41594600677490234,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06545877456665039,0.23841595649719238
10,OIBR4,0.7137678861618042,0.17325985431671143,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.10100281238555908,0.030005812644958496
11,OSXB3,0.5516476631164551,0.3961491584777832,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,5.264895439147949,3.1311168670654297
12,PATI3,0.29298973083496094,0.0005121231079101562,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.006927490234375,0.054358482360839844
13,PATI4,0.2006244659423828,0.1708831787109375,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09645652770996094,0.023906707763671875
14,PCAR3,0.23126220703125,0.14080810546875,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2120513916015625,0.028778076171875
15,PDGR3,0.6554641723632812,4.506399154663086,0,1,0,0,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,1,0,2.0849857330322266,1.2137336730957031
16,PEAB3,0.0226287841796875,0.04388236999511719,0,1,0,0,0,1,0,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0.1371173858642578,0.11266136169433594
17,PEAB4,0.3002738952636719,0.7137184143066406,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.05608367919921875,0.1913909912109375
18,PETR3,0.16226577758789062,0.1223306655883789,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010272026062011719,0.03229522705078125
19,PETR4,0.058746337890625,0.04815196990966797,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02254009246826172,0.044686317443847656
20,PFRM3,0.18683433532714844,0.23777294158935547,0,0,0,1,0,0,0,0,0,0,0,0,1,1,1,0,0,0,0,1,0,0.16010665893554688,0.011046409606933594
21,PINE4,0.01737236976623535,0.0072138309478759766,0,1,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.00902867317199707,0.013180255889892578
22,PLAS3,0.04652976989746094,0.010586738586425781,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.28321361541748047,0.0641326904296875
23,PMAM3,0.9381561279296875,0.4646339416503906,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2335052490234375,0.24220657348632812
24,PNVL3,0.088531494140625,0.011088848114013672,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0,0,0.058680057525634766,0.04559516906738281
25,PNVL4,0.057799339294433594,0.019963741302490234,0,0,0,1,0,0,0,0,0,0,1,0,1,1,1,0,0,0,0,0,0,0.06847333908081055,0.1028594970703125
26,POMO3,0.0051534175872802734,0.019824504852294922,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.004384517669677734,0.008119344711303711
27,POMO4,0.014335632324218306,0.000621318817139116,0,0,1,1,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.034674167633057085,0.01711058616638228
28,POSI3,0.02160358428955078,0.05789947509765625,0,0,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.016332626342773438,0.06603050231933594
29,PRIO3,0.040938615798950195,0.006038308143615723,0,0,0,0,0,0,0,0,0,1,0,1,1,1,1,0,0,0,0,0,0,0.18467140197753906,0.07976925373077393
30,PSSA3,0.06519126892089844,0.0930328369140625,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.37422752380371094,0.09918403625488281
31,PTBL3,0.043220758438110796,0.011096239089965376,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01207041740417436,0.0008378028869633347
32,PTNT3,6.9882612228393555,2.070178270339966,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,1,0,0,183.5742163658142,124.11929559707642
33,PTNT4,0.050127267837524414,0.026920557022094727,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.029598712921142578,0.007458686828613281
34,QUAL3,0.27380847930908203,0.2601499557495117,0,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.03157234191894531,0.0628347396850586
35,RADL3,0.03616476058959961,0.014781475067138672,0,0,1,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0.07733583450317383,0.022177696228027344
36,RANI3,0.0036673545837402344,0.0017664432525634766,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.010765314102172852,0.02707982063293457
37,RAPT3,1.295422077178955,0.9554276466369629,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,3.788048267364502,4.8018107414245605
38,RAPT4,0.051036834716796875,0.01751565933227539,0,1,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0.0047779083251953125,0.018012046813964844
39,RCSL4,0.4406242370605469,2.5167646408081055,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.3974428176879883,0.3968639373779297
40,RDNI3,0.025709152221679688,0.0030317306518554688,0,1,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0.050191402435302734,0.015275001525878906
41,REDE3,0.022449851036071777,0.012821078300476074,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0010466575622558594,0.0008882284164428711
42,RENT3,0.007341384887697089,0.07438278198242365,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.10376071929931818,0.0577354431152326
43,RNEW11,6.438701629638668,5.593648910522457,0,0,1,1,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0.04967117309569957,0.09286499023437855
44,RNEW3,2.4299120903015137,0.6225428581237793,0,0,0,0,0,1,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0.02136993408203125,0.6501460075378418
45,ROMI3,0.010189175605773926,0.008474349975585938,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.012208342552185059,0.0544428825378418
46,RPAD3,0.010333538055419922,0.014361381530761719,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.02120065689086914,0.005009174346923828
47,RPAD5,0.0069844722747802734,0.01064753532409668,0,1,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.003627777099609375,0.020259618759155273
48,RPAD6,0.007668018341064453,0.00048029422760009766,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002360105514526367,0.0003437995910644531
49,RPMG3,0.14558172225952148,0.002841949462890625,1,1,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0.12015342712402344,0.06080293655395508
50,RSID3,1.543154716491701,1.5074453353881818,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.1184787750244158,0.09039402008056818
51,RSUL4,53.29778289794922,2.409475326538086,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.45584869384765625,1.1594371795654297
52,SANB11,0.16769790649414062,0.08731842041015625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.23328399658203125,0.15406036376953125
53,SANB3,6.301545143127441,0.6189484596252441,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5.4133981466293335,16.687692642211914
54,SANB4,3.8971657752990723,1.202326774597168,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1.2114276885986328,11.682580471038818
55,SAPR3,0.0305855274200435,0.020346403121947798,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.019574165344238725,0.016611099243164507
56,SAPR4,0.001367330551147905,0.015429735183716264,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0021255016326899856,0.030188322067260298
57,SBSP3,0.05438995361328125,0.10709571838378906,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.16387939453125,0.07497215270996094
58,SCAR3,0.04336738586425781,0.02579498291015625,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.1326923370361328,0.10338592529296875
59,SEER3,0.40680122375488637,0.15757560729980824,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.008575439453128553,0.01403999328612926
60,SGPS3,0.17710685729980646,0.06084823608398615,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.14219570159911932,0.09775924682617365
61,SHOW3,0.034127235412597656,0.02976512908935547,0,1,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.015524864196777344,0.035624027252197266
62,SHUL4,0.011969447135925515,0.02053642272949241,0,1,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,1,0,0.010179996490478294,0.010580539703368919
63,SLCE3,0.008740425109863281,0.01793384552001953,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.003937721252441406,0.028852462768554688
64,SLED3,0.08105325698852539,0.04565238952636719,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.004467487335205078,0.01521158218383789
65,SLED4,0.14333009719848633,0.055118560791015625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.07693624496459961,0.07918643951416016
66,SMLS3,0.9640731811523438,0.15657424926757812,0,1,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0.5208091735839844,0.35831451416015625
67,SMTO3,0.006229400634765625,0.08810806274414062,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.09479141235351562,0.11944198608398438
68,SNSY5,0.023116469383239746,0.013564109802246094,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.002810955047607422,0.0013132095336914062
69,SOND5,0.5040454864501953,0.9495124816894531,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.1885204315185547,0.141754150390625
70,SOND6,0.10128116607666016,0.12744712829589844,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.016042709350585938,0.03792858123779297
71,SQIA3,0.10228586196899414,0.10605525970458984,0,0,0,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0.5020427703857422,0.3610701560974121
72,STBP3,0.03855133056640625,0.022521018981933594,0,0,0,1,0,0,0,0,0,0,0,1,0,1,1,0,0,0,0,1,0,0.011006355285644531,0.05066967010498047
73,SULA11,0.08517646789550781,0.04969978332519531,0,0,0,0,0,0,0,0,0,0,1,1,1,1,0,0,0,0,0,1,0,0.1425342559814453,0.0606842041015625
74,SULA3,0.1964797973632848,0.2634983062744176,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.6909275054931605,0.2783889770507777
75,SUZB3,0.024019241333007812,0.04059028625488281,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0,0,1,1,0,0,0,0.016324996948242188,0.027988433837890625
76,TAEE11,0.1644439697265625,0.11078071594238281,0,0,0,1,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0.07476615905761719,0.07092857360839844
77,TAEE3,0.0465087890625,0.014641761779785156,1,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.12629318237304688,0.023204803466796875
78,TASA3,0.6980890035629272,0.31754636764526367,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,1,0,1,0,0,0,0.8325601816177368,5.090165615081787
