,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,ABCB4,0.05319404602050781,0.06545448303222656,0,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.18338966369628906,0.34494781494140625
1,ABEV3,0.2477035522460937,0.0025501251220703125,0,0,0,0,0,0,1,0,1,0,0,1,0,1,1,0,0,0,0,0,0,0.6449699401855469,0.6295871734619141
2,ADHM3,0.04719853401184082,0.04153358936309815,0,1,0,1,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0.02394652366638184,0.00401759147644043
3,AELP3,0.02304553985595703,0.21818065643310547,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02740001678466797,0.035274505615234375
4,AFLT3,1.7698445320129397,9.89683198928833,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,7.836434841156006,6.356153964996338
5,AGRO3,0.018546104431152344,0.037281036376953125,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.032706260681152344,0.004609107971191406
6,AHEB3,0.018634796142578125,0.04667568206787109,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.0019931793212890625,0.040434837341308594
7,AHEB5,0.2602844238281392,0.40790557861329546,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.2016754150390483,0.27577972412107954
8,AHEB6,0.3582763671875071,0.00238418579100852,1,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.02298355102539773,0.23453903198242895
9,ALPA3,0.02786111831665039,0.05112838745117188,0,1,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0.01763010025024414,0.006233692169189453
10,ALPA4,0.06097507476806641,0.09247112274169922,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0,0,0,0,0,1,0,0.09245109558105467,0.003995895385742188
11,ALSO3,0.027381896972652697,0.1817722320556676,1,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.06467247009276987,0.03013229370116832
12,ALUP11,0.1500225067138672,0.05237007141113281,0,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.09802627563476562,0.030185699462890625
13,AMAR3,0.01334857940673828,0.004887580871582031,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05138063430786133,0.05989646911621094
14,ANIM3,0.08872365951538086,0.033686161041259766,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02428579330444336,0.023224353790283203
15,APER3,0.8101110458374023,0.997528076171875,0,1,0,0,0,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0.17564010620117188,0.13300132751464844
16,ARZZ3,0.16337966918945312,0.124420166015625,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.15621566772460938,0.0821685791015625
17,ATMP3,94.83197021484376,83.57296752929688,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,9.82568359375,1.734893798828125
