,Papel,RMSE_0,RMSE_1,Open,High,Low,Adj Close,Volume,EMA_10,SMA_10,EMA_20,SMA_20,EMA_50,SMA_50,EMA_100,SMA_100,EMA_200,SMA_200,ATR,CCI,ROC,RSI,WCL,Close,RMSE2_0,RMSE2_1
0,BRFS3,0.1354980468749929,0.19838714599610086,0,0,0,0,0,0,0,1,1,1,1,1,0,0,0,0,0,0,0,0,0,0.13951873779297586,0.5831222534179616
1,BRGE11,0.022295475006103516,0.012929916381835938,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0.005860805511474609,0.01702404022216797
2,BRGE12,0.007424831390380859,0.001783609390258789,0,0,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0023725032806396484,0.008671045303344727
3,BRGE3,0.02142024040222168,0.0008721351623535156,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.0006711483001708984,0.008217811584472656
4,BRGE5,0.0899655818939209,0.07332921028137207,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.015961885452270508,0.008522510528564453
5,BRGE6,0.21570777893066406,0.11782550811767578,1,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0.0017547607421875,0.03955841064453125
6,BRGE8,0.0042798519134521484,0.00405430793762207,1,1,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,1,0,0.020318269729614258,0.005952119827270508
7,BRIV3,0.0160655975341788,0.0005493164062491118,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.02971506118774503,0.015929698944092685
8,BRIV4,0.03350210189819247,0.06330490112304599,0,1,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0.11982107162475497,0.12232589721679599
9,BRKM3,0.07300376892089844,0.01831531524658203,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.036866188049316406,0.02187633514404297
10,BRKM5,372.37610721588135,350.2260522842407,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,53.678067207336426,404.5557470321655
11,BRKM6,27.92111301422119,27.39554214477539,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,44.4895133972168,7.547637939453125
12,BRML3,0.04402637481689453,0.030710220336914062,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.05243206024169922,0.029859542846679688
13,BRPR3,0.022825241088867188,0.048226356506347656,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0.01726818084716797,0.022299766540527344
14,BRSR3,0.3167538642883301,0.19070911407470703,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0,1,0,1,0,0,0,1.0337600708007812,0.7943334579467773
